"Reference","Value","Footprint","Qty","DNP"
"C1,C2","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C3,C4,C5,C6,C7,C8","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","6",""
"D1","SB140+","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D2","SB140-","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"J1,J2,J3,J4,J5,J6,J7,J8","TS_Jack_6.35mm_Sw","SynthStuff:CUI_MJ-63052A","8",""
"J50,J60","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","2",""
"J100","IDC_02x05","SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_Eurorack","1",""
"J200","IDC_02x05","SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_BackBone","1",""
"Q1,Q2,Q3,Q4","BC548","Package_TO_SOT_THT:TO-92L_Inline_Wide","4",""
"R1,R4,R24,R32","33k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R3,R6,R7,R8,R11,R12,R18,R19,R25,R28,R31,R33,R34,R38,R41,R42","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","16",""
"R9,R16,R17,R26,R30,R39","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R10,R13,R35,R36","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R14,R15,R21,R22,R23,R40","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R20,R29","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"RV1,RV4","100k","SynthStuff:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","2",""
"RV2,RV3,RV5,RV6","100k","SynthStuff:Potentiometer_TT_P110KH1","4",""
"RV7,RV8","100k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","2",""
"RV9,RV10,RV11,RV12","50k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","4",""
"U1,U2","TL074","Package_DIP:DIP-14_W7.62mm_Socket","2",""
"U2","TL074","","1",""
